GADMunicipal;montoA14;montoB14;montoTotal14;montoA15;montoB15;montoTotal15;montoA16;montoB16;montoTotal16
El Guabo;5116640;1910976;7027616;5116640;2525882;7642522;5116640;1511869;6628508
Huaquillas;4978000;2199258;7177258;4978000;2908720;7886721;4978000;1806643;6784644
Marcabeli;1344595;304620;1649216;1344595;427970;1772565;1344595;278695;1623291
Pasaje;5656306;3467306;9123611;5656306;4093537;9749842;5656306;2842537;8498843
Piñas;2730907;1338346;4069253;2730907;1889511;4620418;2730907;1163593;3894500
Portovelo;1573335;492759;2066094;1573335;665434;2238770;1573335;399313;1972649
Santa Rosa;6197576;3099539;9297115;6197576;4190565;10388141;6197576;2704965;8902541
Zaruma;2752049;930350;3682399;2752049;1265793;4017842;2752049;752376;3504425
Las Lajas;1140147;359075;1499222;1140147;429511;1569658;1140147;275965;1416113
Esmeraldas;14083360;5439781;19523141;14083360;7258600;21341960;14083360;3885215;17968575
Eloy Alfaro;4765714;3289775;8055488;4765714;4364878;9130592;4765714;2484004;7249718
Muisne;3443069;1696794;5139862;3443069;2136537;5579605;3443069;1231523;4674592
Quininde;11848411;6338347;18186758;11848411;7946206;19794617;11848411;4586305;16434716
San Lorenzo;3755708;3030160;6785869;3755708;3839317;7595025;3755708;2361987;6117696
Atacames;3931933;2280405;6212338;3931933;3090752;7022685;3931933;1796985;5728918
Rioverde;3333809;1631618;4965427;3333809;1990916;5324725;3333809;1163168;4496977
Guayaquil;223555431;43735955;267291386;223555431;71331576;294887007;223555431;46549270;270104701
Alfredo Baquerizo Moreno;2619629;1269673;3889302;2619629;1598313;4217942;2619629;885525;3505154
Balao;2153475;1149748;3303223;2153475;1528168;3681643;2153475;874439;3027914
Balzar;5610709;2629515;8240223;5610709;3603270;9213978;5610709;2128937;7739645
Colimes;2937270;1410211;4347481;2937270;1763525;4700795;2937270;1018424;3955694
Daule;9385523;5376084;14761608;9385523;7130879;16516403;9385523;4876482;14262005
Duran;16433613;8064234;24497848;16433613;10783973;27217586;16433613;6675889;23109502
Empalme;7537868;3507844;11045712;7537868;4413411;11951279;7537868;2573935;10111803
El Triunfo;3963835;2176103;6139938;3963835;2574647;6538482;3963835;1642519;5606354
Milagro;13145900;5924092;19069992;13145900;7631401;20777301;13145900;4706623;17852523
Naranjal;5901612;3145797;9047409;5901612;4183841;10085453;5901612;2466086;8367698
Naranjito;4085497;1205159;5290656;4085497;1586961;5672458;4085497;1051254;5136751
Palestina;2030694;805460;2836154;2030694;1000566;3031259;2030694;598676;2629370
Pedro Carbo;4656840;2507399;7164239;4656840;3136403;7793242;4656840;1859765;6516604
Samborondon;5859703;3471312;9331015;5859703;5435327;11295030;5859703;2940058;8799761
Santa Lucia;4303311;2186823;6490134;4303311;2736806;7040117;4303311;1627960;5931271
Urbina Jado;5937377;3245470;9182847;5937377;4097609;10034986;5937377;2366300;8303678
Yaguachi;5273426;2630328;7903753;5273426;3352699;8626125;5273426;2045064;7318489
Playas (General Villamil;3452839;1578332;5031171;3452839;2100114;5552953;3452839;1376692;4829531
Simon Bolívar;2708899;1365102;4074000;2708899;1850020;4558918;2708899;1008084;3716982
Coronel Marcelino Maridueña;2075027;619279;2694306;2075027;817343;2892370;2075027;433883;2508910
Lomas De Sargentillo;1942954;859395;2802349;1942954;1195471;3138425;1942954;666473;2609427
Nobol (Vicente Piedrahita);2194879;929039;3123918;2194879;1227450;3422329;2194879;773474;2968353
General Antonio Elizalde;1609606;506997;2116603;1609606;684960;2294566;1609606;357423;1967028
Isidro Ayora;1517030;705854;2222883;1517030;903770;2420799;1517030;548205;2065234
Ibarra;13269893;7199350;20469243;13269893;10642473;23912366;13269893;6710681;19980574
Antonio Ante;4174528;1408531;5583059;4174528;1979934;6154462;4174528;1212365;5386892
Cotacachi;4734530;1788028;6522559;4734530;2369992;7104522;4734530;1474305;6208836
Otavalo;9067805;4051075;13118880;9067805;5448557;14516362;9067805;3364082;12431888
Pimampiro;1922614;824110;2746724;1922614;1090843;3013457;1922614;685233;2607846
San Miguel De Urcuqui;2039093;1114820;3153913;2039093;1421789;3460882;2039093;859825;2898917
Loja;15035783;8928009;23963792;15035783;12685920;27721703;15035783;8209680;23245463
Calvas;3955120;1637864;5592984;3955120;1931471;5886591;3955120;1256943;5212064
Catamayo;3658999;1145210;4804209;3658999;1500573;5159572;3658999;976050;4635049
Celica;2637231;874523;3511754;2637231;1120434;3757665;2637231;690465;3327696
Chahuarpamba;2033870;575367;2609237;2033870;719068;2752937;2033870;417983;2451852
Espindola;2900807;1100707;4001515;2900807;1532026;4432833;2900807;873802;3774609
Gonzanama;2815741;977747;3793488;2815741;1133920;3949661;2815741;695987;3511728
Macara;2709538;999744;3709282;2709538;1274113;3983651;2709538;832537;3542075
Paltas;3726094;1723517;5449611;3726094;2179567;5905661;3726094;1256696;4982790
Puyango;2768049;1100298;3868347;2768049;1259202;4027251;2768049;796201;3564250
Saraguro;4037057;1642767;5679825;4037057;2085961;6123018;4037057;1252742;5289800
Sozoranga;2017037;661418;2678455;2017037;834349;2851387;2017037;485558;2502595
Zapotillo;2293517;1060540;3354057;2293517;1372448;3665964;2293517;792958;3086475
Pindal;1888192;678123;2566316;1888192;858265;2746458;1888192;518940;2407133
Quilanga;1605130;383480;1988610;1605130;447021;2052151;1605130;283142;1888273
Olmedo;1686678;309103;1995780;1686678;396451;2083129;1686678;236080;1922758
Babahoyo;12257467;5867062;18124529;12257467;7678593;19936060;12257467;4648466;16905933
Baba;4493532;2098330;6591862;4493532;2636198;7129730;4493532;1574687;6068219
Montalvo;2584801;1077063;3661864;2584801;1289909;3874711;2584801;772875;3357677
Pueblo viejo;3682018;1881719;5563737;3682018;2392272;6074290;3682018;1316231;4998249
Quevedo;13145552;5932152;19077705;13145552;7776676;20922229;13145552;4876622;18022175
